spp,date,hatchdate,dph,staff,contaminant,treatment,group,targettempC,nomconclab,tank,fishID,nomconc,tl_mm,mass_g,Notes
WS,6/29/21,5/21/21,39,AES,fip,green,F,15,0001ug,R3.4,8,1,38.6,0.32,
WS,6/29/21,5/21/21,39,AES,fip,white,F,15,0000ug,R3.4,8,0,45.1,0.57,
WS,6/29/21,5/21/21,39,AES,fip,pink,F,15,0500ug,R3.4,8,500,43.5,0.66,
WS,6/30/21,5/21/21,40,AES,fip,pink,F,15,0500ug,R3.4,9,500,36.7,0.31,
WS,6/30/21,5/21/21,40,AES,fip,pink,F,15,0500ug,R3.4,10,500,43.8,0.47,
WS,6/30/21,5/21/21,40,AES,fip,yellow,F,15,0010ug,R3.4,9,10,46.3,0.47,
WS,6/30/21,5/21/21,40,AES,fip,blue,F,15,1000ug,R3.4,9,1000,49.3,0.54,
WS,6/30/21,5/21/21,40,AES,fip,blue,F,15,1000ug,R1.2,10,1000,32.2,0.2,
WS,6/30/21,5/21/21,40,AES,fip,green,F,15,0001ug,R3.4,9,1,51.7,0.74,
WS,6/30/21,5/21/21,40,AES,fip,green,F,15,0001ug,R1.2,10,1,41.5,0.33,
WS,6/30/21,5/21/21,40,AES,fip,yellow,F,15,0010ug,R1.2,10,10,39.6,0.33,
WS,6/30/21,5/21/21,40,AES,fip,white,F,15,0000ug,R3.4,9,0,46.3,0.46,
WS,6/30/21,5/21/21,40,AES,fip,pink,F,15,0500ug,R1.2,11,500,40,0.35,
WS,6/30/21,5/21/21,40,AES,fip,red,F,15,0100ug,R3.4,9,100,48.7,0.61,
WS,6/30/21,5/21/21,40,AES,fip,white,F,15,0000ug,R1.2,10,0,37.3,0.25,
WS,6/30/21,5/21/21,40,AES,fip,red,F,15,0100ug,R3.4,10,100,32.4,0.18,
WS,6/30/21,5/21/21,40,AES,fip,red,F,15,0100ug,R1.2,11,100,39.9,0.31,
WS,6/30/21,5/21/21,40,AES,fip,pink,F,15,0500ug,R1.2,12,500,49,0.89,
